referencia,nombre,familia,unidad,precio_tarifa,iva,atributos
14047270,MOUG-140HD1N1-R,otros,ud,12170.00,21,{}
14047272,MOUG-150HD1N1-R,otros,ud,13670.00,21,{}
14047274,MOUG-192HD1N1-R,otros,ud,16170.00,21,{}
14068082,Midea 14068082,accesorio,ud,1760.00,21,{}
14000107,Midea 14000107,accesorio,ud,5200.00,21,{}
14000019,Midea 14000019,accesorio,ud,7350.00,21,{}
14000020,Midea 14000020,accesorio,ud,8020.00,21,{}
14000064,Midea 14000064,accesorio,ud,8120.00,21,{}
14000062,Midea 14000062,accesorio,ud,9470.00,21,{}
14000063,Midea 14000063,accesorio,ud,9790.00,21,{}
14059402,Midea 14059402,accesorio,ud,11640.00,21,{}
14059452,Midea 14059452,accesorio,ud,13500.00,21,{}
14020040,Midea 14020040,accesorio,ud,14600.00,21,{}
14000028,Midea 14000028,accesorio,ud,16030.00,21,{}
14000029,Midea 14000029,accesorio,ud,17010.00,21,{}
14000030,Midea 14000030,accesorio,ud,11192.00,21,{}
14000031,Midea 14000031,accesorio,ud,16878.00,21,{}
14020041,Midea 14020041,accesorio,ud,19211.00,21,{}
14000032,Midea 14000032,accesorio,ud,20912.00,21,{}
14000033,Midea 14000033,accesorio,ud,22120.00,21,{}
14000034,Midea 14000034,accesorio,ud,27718.00,21,{}
14000035,Midea 14000035,accesorio,ud,29914.00,21,{}
14000041,Midea 14000041,accesorio,ud,13450.00,21,{}
14000042,Midea 14000042,accesorio,ud,15310.00,21,{}
14000043,Midea 14000043,accesorio,ud,17730.00,21,{}
14000044,Midea 14000044,accesorio,ud,18500.00,21,{}
14000045,Midea 14000045,accesorio,ud,23000.00,21,{}
14000046,Midea 14000046,accesorio,ud,25300.00,21,{}
14000047,Midea 14000047,accesorio,ud,27830.00,21,{}
14000048,Midea 14000048,accesorio,ud,32050.00,21,{}
14000049,Midea 14000049,accesorio,ud,36440.00,21,{}
14072154,Midea 14072154,accesorio,ud,13450.00,21,{}
14072155,Midea 14072155,accesorio,ud,14220.00,21,{}
14072156,Midea 14072156,accesorio,ud,15970.00,21,{}
14072157,Midea 14072157,accesorio,ud,18500.00,21,{}
14072158,Midea 14072158,accesorio,ud,19430.00,21,{}
14072159,Midea 14072159,accesorio,ud,21190.00,21,{}
14072167,Midea 14072167,accesorio,ud,1610.00,21,{}
14072168,Midea 14072168,accesorio,ud,3230.00,21,{}
14072169,Midea 14072169,accesorio,ud,4300.00,21,{}
14072170,Midea 14072170,accesorio,ud,6560.00,21,{}
14010205,Midea 14010205,accesorio,ud,170.00,21,{}
14010206,Midea 14010206,accesorio,ud,170.00,21,{}
14010207,Midea 14010207,accesorio,ud,170.00,21,{}
14010208,Midea 14010208,accesorio,ud,170.00,21,{}
14010209,Midea 14010209,accesorio,ud,170.00,21,{}
14010210,Midea 14010210,accesorio,ud,170.00,21,{}
14010211,Midea 14010211,accesorio,ud,170.00,21,{}
14010255,Midea 14010255,accesorio,ud,170.00,21,{}
14010254,Midea 14010254,accesorio,ud,170.00,21,{}
14010213,Midea 14010213,accesorio,ud,170.00,21,{}
14010214,Midea 14010214,accesorio,ud,170.00,21,{}
14010217,Midea 14010217,accesorio,ud,170.00,21,{}
14010218,Midea 14010218,accesorio,ud,170.00,21,{}
14010219,Midea 14010219,accesorio,ud,170.00,21,{}
14010220,Midea 14010220,accesorio,ud,170.00,21,{}
14047247,Midea 14047247,accesorio,ud,170.00,21,{}
14047248,Midea 14047248,accesorio,ud,170.00,21,{}
14047249,Midea 14047249,accesorio,ud,170.00,21,{}
14047250,Midea 14047250,accesorio,ud,170.00,21,{}
14047251,Midea 14047251,accesorio,ud,170.00,21,{}
14047252,Midea 14047252,accesorio,ud,170.00,21,{}
14020042,Midea 14020042,accesorio,ud,3300.00,21,{}
14020043,Midea 14020043,accesorio,ud,3380.00,21,{}
14020044,Midea 14020044,accesorio,ud,3620.00,21,{}
14020045,Midea 14020045,accesorio,ud,4560.00,21,{}
14020046,Midea 14020046,accesorio,ud,4820.00,21,{}
14045962,Midea 14045962,accesorio,ud,110.00,21,{}
14045955,Midea 14045955,accesorio,ud,110.00,21,{}
14047285,Midea 14047285,accesorio,ud,110.00,21,{}
14047286,Midea 14047286,accesorio,ud,110.00,21,{}
14047287,Midea 14047287,accesorio,ud,110.00,21,{}
14047239,Midea 14047239,accesorio,ud,170.00,21,{}
14047244,Midea 14047244,accesorio,ud,170.00,21,{}
14047245,Midea 14047245,accesorio,ud,170.00,21,{}
14047240,Midea 14047240,accesorio,ud,170.00,21,{}
14068758,Midea 14068758,accesorio,ud,170.00,21,{}
14068760,Midea 14068760,accesorio,ud,170.00,21,{}
14068762,Midea 14068762,accesorio,ud,170.00,21,{}
14068764,Midea 14068764,accesorio,ud,170.00,21,{}
14010221,Midea 14010221,accesorio,ud,110.00,21,{}
14010222,Midea 14010222,accesorio,ud,110.00,21,{}
14010223,Midea 14010223,accesorio,ud,110.00,21,{}
14010224,Midea 14010224,accesorio,ud,110.00,21,{}
14010225,Midea 14010225,accesorio,ud,110.00,21,{}
14010226,Midea 14010226,accesorio,ud,110.00,21,{}
14068089,Midea 14068089,accesorio,ud,110.00,21,{}
14068090,Midea 14068090,accesorio,ud,110.00,21,{}
14068091,Midea 14068091,accesorio,ud,110.00,21,{}
14068092,Midea 14068092,accesorio,ud,110.00,21,{}
14068567,Midea 14068567,accesorio,ud,170.00,21,{}
14068568,Midea 14068568,accesorio,ud,170.00,21,{}
14068569,Midea 14068569,accesorio,ud,170.00,21,{}
14068570,Midea 14068570,accesorio,ud,170.00,21,{}
14090116,Midea 14090116,accesorio,ud,3240.00,21,{}
14090117,Midea 14090117,accesorio,ud,3930.00,21,{}
14090118,Midea 14090118,accesorio,ud,4560.00,21,{}
14090119,Midea 14090119,accesorio,ud,6610.00,21,{}
14090120,Midea 14090120,accesorio,ud,6860.00,21,{}
14072198,Midea 14072198,accesorio,ud,7460.00,21,{}
14068087,Midea 14068087,accesorio,ud,6700.00,21,{}
14068088,Midea 14068088,accesorio,ud,7570.00,21,{}
14010263,Midea 14010263,accesorio,ud,1590.00,21,{}
14010264,Midea 14010264,accesorio,ud,2060.00,21,{}
14010262,Midea 14010262,accesorio,ud,810.00,21,{}
14010235,Midea 14010235,accesorio,ud,170.00,21,{}
14010236,Midea 14010236,accesorio,ud,170.00,21,{}
14010237,Midea 14010237,accesorio,ud,170.00,21,{}
14010238,Midea 14010238,accesorio,ud,170.00,21,{}
14010239,Midea 14010239,accesorio,ud,170.00,21,{}
14010240,Midea 14010240,accesorio,ud,170.00,21,{}
14010241,Midea 14010241,accesorio,ud,170.00,21,{}
14010242,Midea 14010242,accesorio,ud,170.00,21,{}
14035222,Midea 14035222,accesorio,ud,5200.00,21,{}
14035223,Midea 14035223,accesorio,ud,5350.00,21,{}
14035224,Midea 14035224,accesorio,ud,5860.00,21,{}
14035215,Midea 14035215,accesorio,ud,7010.00,21,{}
14035218,Midea 14035218,accesorio,ud,7010.00,21,{}
14035220,Midea 14035220,accesorio,ud,7050.00,21,{}
14035217,Midea 14035217,accesorio,ud,7110.00,21,{}
14035219,Midea 14035219,accesorio,ud,7280.00,21,{}
14035221,Midea 14035221,accesorio,ud,7420.00,21,{}
14000065,Midea 14000065,accesorio,ud,36000.00,21,{}
14000066,Midea 14000066,accesorio,ud,37500.00,21,{}
14000067,Midea 14000067,accesorio,ud,39000.00,21,{}
14000068,Midea 14000068,accesorio,ud,42000.00,21,{}
14000069,Midea 14000069,accesorio,ud,44000.00,21,{}
14000070,Midea 14000070,accesorio,ud,46000.00,21,{}
14079092,Midea 14079092,accesorio,ud,32412.00,21,{}
14079093,Midea 14079093,accesorio,ud,37727.00,21,{}
14000058,Midea 14000058,accesorio,ud,23690.00,21,{}
14000026,Midea 14000026,accesorio,ud,24170.00,21,{}
14000052,Midea 14000052,accesorio,ud,26750.00,21,{}
14000027,Midea 14000027,accesorio,ud,40590.00,21,{}
14000053,Midea 14000053,accesorio,ud,43680.00,21,{}
14000059,Midea 14000059,accesorio,ud,31490.00,21,{}
14000054,Midea 14000054,accesorio,ud,32240.00,21,{}
14000056,Midea 14000056,accesorio,ud,32930.00,21,{}
14000055,Midea 14000055,accesorio,ud,52920.00,21,{}
14000057,Midea 14000057,accesorio,ud,53850.00,21,{}
14047007,Midea 14047007,accesorio,ud,87000.00,21,{}
14047008,Midea 14047008,accesorio,ud,90000.00,21,{}
14047009,Midea 14047009,accesorio,ud,93000.00,21,{}
14047010,Midea 14047010,accesorio,ud,125000.00,21,{}
14047011,Midea 14047011,accesorio,ud,130000.00,21,{}
14047012,Midea 14047012,accesorio,ud,135000.00,21,{}
14047013,Midea 14047013,accesorio,ud,102000.00,21,{}
14047014,Midea 14047014,accesorio,ud,105000.00,21,{}
14047015,Midea 14047015,accesorio,ud,110000.00,21,{}
14047016,Midea 14047016,accesorio,ud,140000.00,21,{}
14047017,Midea 14047017,accesorio,ud,145000.00,21,{}
14047018,Midea 14047018,accesorio,ud,150000.00,21,{}
14015128,Midea 14015128,accesorio,ud,104.00,21,{}
14015143,Midea 14015143,accesorio,ud,104.00,21,{}
14015153,Midea 14015153,accesorio,ud,104.00,21,{}
14015193,Midea 14015193,accesorio,ud,104.00,21,{}
14015129,Midea 14015129,accesorio,ud,104.00,21,{}
14015144,Midea 14015144,accesorio,ud,104.00,21,{}
14015154,Midea 14015154,accesorio,ud,104.00,21,{}
14015194,Midea 14015194,accesorio,ud,104.00,21,{}
14010188,Midea 14010188,accesorio,ud,110.00,21,{}
14010189,Midea 14010189,accesorio,ud,110.00,21,{}
14010190,Midea 14010190,accesorio,ud,110.00,21,{}
14045963,Midea 14045963,accesorio,ud,110.00,21,{}
14045964,Midea 14045964,accesorio,ud,110.00,21,{}
14010267,Midea 14010267,accesorio,ud,170.00,21,{}
14010268,Midea 14010268,accesorio,ud,170.00,21,{}
14010269,Midea 14010269,accesorio,ud,170.00,21,{}
14010270,Midea 14010270,accesorio,ud,170.00,21,{}
14010271,Midea 14010271,accesorio,ud,170.00,21,{}
14010272,Midea 14010272,accesorio,ud,170.00,21,{}
11400473,Midea 11400473,accesorio,ud,173.00,21,{}
11400474,Midea 11400474,accesorio,ud,173.00,21,{}
11400475,Midea 11400475,accesorio,ud,173.00,21,{}
11400476,Midea 11400476,accesorio,ud,173.00,21,{}
11400477,Midea 11400477,accesorio,ud,173.00,21,{}
11400478,Midea 11400478,accesorio,ud,173.00,21,{}
11400479,Midea 11400479,accesorio,ud,173.00,21,{}
11400480,Midea 11400480,accesorio,ud,173.00,21,{}
11400481,Midea 11400481,accesorio,ud,173.00,21,{}
11400482,Midea 11400482,accesorio,ud,173.00,21,{}
13930914,Midea 13930914,accesorio,ud,35.00,21,{}
