referencia,nombre,familia,unidad,precio_tarifa,iva,atributos
8000051860,Pack GeniaSet Iso ES 15 400V inoxidable MiPro Sense inalámbrico 1C,otros,ud,21090.00,21,"{""trifasica"": true, ""control"": ""inalambrico""}"
8000051861,Pack GeniaSet Iso ES 15 400V inoxidable MiPro Sense cableado 1C,otros,ud,20990.00,21,"{""trifasica"": true, ""control"": ""cableado""}"
8000051862,Pack GeniaSet Iso ES 4 inoxidable MiPro Sense inalámbrico 2C,otros,ud,16150.00,21,"{""control"": ""inalambrico""}"
8000051843,Pack GeniaSet Iso ES 4 inoxidable MiPro Sense cableado 2C,otros,ud,16050.00,21,"{""control"": ""cableado""}"
8000051844,Pack GeniaSet Iso ES 6 inoxidable MiPro Sense inalámbrico 2C,otros,ud,16890.00,21,"{""control"": ""inalambrico""}"
8000051845,Pack GeniaSet Iso ES 6 inoxidable MiPro Sense cableado 2C,otros,ud,16790.00,21,"{""control"": ""cableado""}"
8000051863,Pack GeniaSet Iso ES 8 inoxidable MiPro Sense inalámbrico 2C,otros,ud,17555.00,21,"{""control"": ""inalambrico""}"
8000051864,Pack GeniaSet Iso ES 8 inoxidable MiPro Sense cableado 2C,otros,ud,17455.00,21,"{""control"": ""cableado""}"
8000051846,Pack GeniaSet Iso ES 12 230V inoxidable MiPro Sense inalámbrico 2C,otros,ud,20890.00,21,"{""control"": ""inalambrico""}"
8000051865,Pack GeniaSet Iso ES 12 230V inoxidable MiPro Sense cableado 2C,otros,ud,20790.00,21,"{""control"": ""cableado""}"
8000051866,Pack GeniaSet Iso ES 12 400V inoxidable MiPro Sense inalámbrico 2C,otros,ud,21750.00,21,"{""trifasica"": true, ""control"": ""inalambrico""}"
8000051867,Pack GeniaSet Iso ES 12 400V inoxidable MiPro Sense cableado 2C,otros,ud,21650.00,21,"{""trifasica"": true, ""control"": ""cableado""}"
8000051868,Pack GeniaSet Iso ES 15 230V inoxidable MiPro Sense inalámbrico 2C,otros,ud,21610.00,21,"{""control"": ""inalambrico""}"
8000051869,Pack GeniaSet Iso ES 15 230V inoxidable MiPro Sense cableado 2C,otros,ud,21510.00,21,"{""control"": ""cableado""}"
8000051870,Pack GeniaSet Iso ES 15 400V inoxidable MiPro Sense inalámbrico 2C,otros,ud,22500.00,21,"{""trifasica"": true, ""control"": ""inalambrico""}"
8000051871,Pack GeniaSet Iso ES 15 400V inoxidable MiPro Sense cableado 2C,otros,ud,22400.00,21,"{""trifasica"": true, ""control"": ""cableado""}"
8000047575,Pack básico Max ES 5 MiPro Sense inalámbrico NOVEDAD MAYO,otros,ud,9565.00,21,"{""control"": ""inalambrico""}"
8000047576,Pack básico Max ES 5 MiPro Sense cableado,otros,ud,9465.00,21,"{""control"": ""cableado""}"
8000047577,Pack básico Max ES 8 MiPro Sense inalámbrico,otros,ud,10235.00,21,"{""control"": ""inalambrico""}"
8000047578,Pack básico Max ES 8 MiPro Sense cableado,otros,ud,10135.00,21,"{""control"": ""cableado""}"
8000047597,Pack básico Max ES 12 230V MiPro Sense inalámbrico NOVEDAD DISPONIBLE A PARTIR DE JULIO,otros,ud,13470.00,21,"{""control"": ""inalambrico""}"
8000047598,Pack básico Max ES 12 230V MiPro Sense cableado NOVEDAD DISPONIBLE A PARTIR DE JULIO,otros,ud,13370.00,21,"{""control"": ""cableado""}"
8000047579,Pack básico Max ES 12 400V MiPro Sense inalámbrico NOVEDAD DISPONIBLE A PARTIR DE JULIO,otros,ud,14245.00,21,"{""trifasica"": true, ""control"": ""inalambrico""}"
8000047599,Pack básico Max ES 12 400V MiPro Sense cableado NOVEDAD DISPONIBLE A PARTIR DE JULIO,otros,ud,14145.00,21,"{""trifasica"": true, ""control"": ""cableado""}"
8000047580,Pack básico Max ES 15 230V MiPro Sense inalámbrico NOVEDAD DISPONIBLE A PARTIR DE JULIO,otros,ud,14115.00,21,"{""control"": ""inalambrico""}"
8000047601,Pack básico Max ES 15 230V MiPro Sense cableado NOVEDAD DISPONIBLE A PARTIR DE JULIO,otros,ud,14015.00,21,"{""control"": ""cableado""}"
8000047602,Pack básico Max ES 15 400V MiPro Sense inalámbrico NOVEDAD DISPONIBLE A PARTIR DE JULIO,otros,ud,14915.00,21,"{""trifasica"": true, ""control"": ""inalambrico""}"
8000047603,Pack básico Max ES 15 400V MiPro Sense cableado NOVEDAD DISPONIBLE A PARTIR DE JULIO,otros,ud,14815.00,21,"{""trifasica"": true, ""control"": ""cableado""}"
8000047604,Pack ampliación de cascada Max ES 5 NOVEDAD DISPONIBLE,otros,ud,9220.00,21,{}
8000047600,Pack ampliación cascada Max ES 12 230V NOVEDAD DISPONIBLE A PARTIR DE JULIO MAYO,otros,ud,13125.00,21,{}
8000047611,Pack ampliación cascada Max ES 12 400V NOVEDAD DISPONIBLE A PARTIR DE JULIO,otros,ud,13900.00,21,"{""trifasica"": true}"
8000047612,Pack ampliación cascada Max ES 15 230V NOVEDAD DISPONIBLE A PARTIR DE JULIO,otros,ud,13770.00,21,{}
8000047613,Pack ampliación cascada Max ES 15 400V NOVEDAD DISPONIBLE A PARTIR DE JULIO,otros,ud,14570.00,21,"{""trifasica"": true}"
8000048249,Pack autónomo Max ES 5 MiPro Sense inalámbrico,otros,ud,11525.00,21,"{""control"": ""inalambrico""}"
8000048498,Pack autónomo Max ES 5 MiPro Sense cableado,otros,ud,11425.00,21,"{""control"": ""cableado""}"
8000048499,Pack autónomo Max ES 8 MiPro Sense inalámbrico,otros,ud,12195.00,21,"{""control"": ""inalambrico""}"
8000048500,Pack autónomo Max ES 8 MiPro Sense cableado,otros,ud,12095.00,21,"{""control"": ""cableado""}"
8000048511,Pack autónomo Max ES 12 230V MiPro Sense inalámbrico NOVEDAD DISPONIBLE A PARTIR DE JULIO,otros,ud,15430.00,21,"{""control"": ""inalambrico""}"
8000048512,Pack autónomo Max ES 12 230V MiPro Sense cableado NOVEDAD DISPONIBLE A PARTIR DE JULIO,otros,ud,15330.00,21,"{""control"": ""cableado""}"
8000048513,Pack autónomo Max ES 12 400V MiPro Sense inalámbrico NOVEDAD DISPONIBLE A PARTIR DE JULIO,otros,ud,16205.00,21,"{""trifasica"": true, ""control"": ""inalambrico""}"
8000048510,Pack autónomo Max ES 12 400V MiPro Sense cableado NOVEDAD DISPONIBLE A PARTIR DE JULIO,otros,ud,16105.00,21,"{""trifasica"": true, ""control"": ""cableado""}"
8000048521,Pack autónomo Max ES 15 230V MiPro Sense inalámbrico NOVEDAD DISPONIBLE A PARTIR DE JULIO,otros,ud,16075.00,21,"{""control"": ""inalambrico""}"
8000048522,Pack autónomo Max ES 15 230V MiPro Sense cableado NOVEDAD DISPONIBLE A PARTIR DE JULIO,otros,ud,15975.00,21,"{""control"": ""cableado""}"
8000048523,Pack autónomo Max ES 15 400V MiPro Sense inalámbrico NOVEDAD DISPONIBLE A PARTIR DE JULIO,otros,ud,16875.00,21,"{""trifasica"": true, ""control"": ""inalambrico""}"
8000048625,Pack autónomo Max ES 15 400V MiPro Sense cableado NOVEDAD DISPONIBLE A PARTIR DE JULIO,otros,ud,16775.00,21,"{""trifasica"": true, ""control"": ""cableado""}"
8000047607,Pack GeniaSet Max ES 5 MiPro Sense inalámbrico 1C,otros,ud,13135.00,21,"{""control"": ""inalambrico""}"
8000047616,Pack GeniaSet Max ES 5 MiPro Sense cableado 1C,otros,ud,13035.00,21,"{""control"": ""cableado""}"
8000047617,Pack GeniaSet Max ES 8 MiPro Sense inalámbrico 1C,otros,ud,13805.00,21,"{""control"": ""inalambrico""}"
8000047618,Pack GeniaSet Max ES 8 MiPro Sense cableado 1C,otros,ud,13705.00,21,"{""control"": ""cableado""}"
8000047619,Pack GeniaSet Max ES 12 230V MiPro Sense inalámbrico 1C NOVEDAD DISPONIBLE A PARTIR DE JULIO,otros,ud,17040.00,21,"{""control"": ""inalambrico""}"
8000047608,Pack GeniaSet Max ES 12 230V MiPro Sense cableado 1C NOVEDAD DISPONIBLE A PARTIR DE JULIO,otros,ud,16940.00,21,"{""control"": ""cableado""}"
8000047609,Pack GeniaSet Max ES 12 400V MiPro Sense inalámbrico 1C NOVEDAD DISPONIBLE A PARTIR DE JULIO,otros,ud,17815.00,21,"{""trifasica"": true, ""control"": ""inalambrico""}"
8000047610,Pack GeniaSet Max ES 12 400V MiPro Sense cableado 1C NOVEDAD DISPONIBLE A PARTIR DE JULIO,otros,ud,17715.00,21,"{""trifasica"": true, ""control"": ""cableado""}"
8000047621,Pack GeniaSet Max ES 15 230V MiPro Sense inalámbrico 1C NOVEDAD DISPONIBLE A PARTIR DE JULIO,otros,ud,17685.00,21,"{""control"": ""inalambrico""}"
8000047622,Pack GeniaSet Max ES 15 230V MiPro Sense cableado 1C NOVEDAD DISPONIBLE A PARTIR DE JULIO,otros,ud,17585.00,21,"{""control"": ""cableado""}"
8000047623,Pack GeniaSet Max ES 15 400V MiPro Sense inalámbrico 1C NOVEDAD DISPONIBLE A PARTIR DE JULIO,otros,ud,18485.00,21,"{""trifasica"": true, ""control"": ""inalambrico""}"
8000047620,Pack GeniaSet Max ES 15 400V MiPro Sense cableado 1C NOVEDAD DISPONIBLE A PARTIR DE JULIO,otros,ud,18385.00,21,"{""trifasica"": true, ""control"": ""cableado""}"
8000047642,Pack GeniaSet Max ES 5 MiPro Sense inalámbrico 2C,otros,ud,14425.00,21,"{""control"": ""inalambrico""}"
8000047641,Pack GeniaSet Max ES 5 MiPro Sense cableado 2C,otros,ud,14325.00,21,"{""control"": ""cableado""}"
8000047643,Pack GeniaSet Max ES 8 MiPro Sense inalámbrico 2C,otros,ud,15095.00,21,"{""control"": ""inalambrico""}"
8000047644,Pack GeniaSet Max ES 8 MiPro Sense cableado 2C,otros,ud,14995.00,21,"{""control"": ""cableado""}"
8000047626,Pack GeniaSet Max ES 12 230V MiPro Sense inalámbrico 2C NOVEDAD DISPONIBLE A PARTIR DE JULIO,otros,ud,18330.00,21,"{""control"": ""inalambrico""}"
8000047627,Pack GeniaSet Max ES 12 230V MiPro Sense cableado 2C NOVEDAD DISPONIBLE A PARTIR DE JULIO,otros,ud,18230.00,21,"{""control"": ""cableado""}"
8000047628,Pack GeniaSet Max ES 12 400V MiPro Sense inalámbrico 2C NOVEDAD DISPONIBLE A PARTIR DE JULIO,otros,ud,19105.00,21,"{""trifasica"": true, ""control"": ""inalambrico""}"
8000047629,Pack GeniaSet Max ES 12 400V MiPro Sense cableado 2C NOVEDAD DISPONIBLE A PARTIR DE JULIO,otros,ud,19005.00,21,"{""trifasica"": true, ""control"": ""cableado""}"
8000047630,Pack GeniaSet Max ES 15 230V MiPro Sense inalámbrico 2C NOVEDAD DISPONIBLE A PARTIR DE JULIO,otros,ud,18975.00,21,"{""control"": ""inalambrico""}"
8000047651,Pack GeniaSet Max ES 15 230V MiPro Sense cableado 2C NOVEDAD DISPONIBLE A PARTIR DE JULIO,otros,ud,18875.00,21,"{""control"": ""cableado""}"
8000047645,Pack GeniaSet Max ES 15 400V MiPro Sense inalámbrico 2C NOVEDAD DISPONIBLE A PARTIR DE JULIO,otros,ud,19775.00,21,"{""trifasica"": true, ""control"": ""inalambrico""}"
